Date,Simulated Storage,
20130507,0,
20130508,0,
20130509,0,
20130510,0,
20130511,0,
20130512,0,
20130513,0,
20130514,0,
20130515,0,
20130516,0,
20130517,0,
20130518,0,
20130519,0,
20130520,0,
20130521,0,
20130522,0,
20130523,0,
20130524,0,
20130525,0,
20130526,0,
20130527,0,
20130528,0,
20130529,0,
20130530,0.001465206,
20130531,0,
20130601,0,
20130602,0,
20130603,0.002623527,
20130604,0,
20130605,0,
20130606,0,
20130607,0,
20130608,0,
20130609,0,
20130610,0,
20130611,0,
20130612,0,
20130613,0,
20130614,0,
20130615,0,
20130616,0,
20130617,0,
20130618,0,
20130619,0,
20130620,0,
20130621,0,
20130622,0,
20130623,0,
20130624,0,
20130625,0.080552755,
20130626,0.188792208,
20130627,0.195501995,
20130628,0.091464987,
20130629,0,
20130630,0,
20130701,0,
20130702,0,
20130703,0,
20130704,0.613062614,
20130705,0.865915628,
20130706,0.852142908,
20130707,0.880041495,
20130708,0.777275815,
20130709,0.748317788,
20130710,0.649083574,
20130711,0.583398294,
20130712,0.518772454,
20130713,0.592580108,
20130714,0.511356374,
20130715,0.413887894,
20130716,0.326236891,
20130717,0.341810659,
20130718,0.321928502,
20130719,0.541020694,
20130720,1.069681255,
20130721,1.353258029,
20130722,1.503345362,
20130723,1.679212403,
20130724,1.791159896,
20130725,1.95501995,
20130726,2.04931011,
20130727,2.05460731,
20130728,2.088156243,
20130729,2.229061764,
20130730,2.24318763,
20130731,2.270026777,
20130801,2.34701275,
20130802,2.807162858,
20130803,3.110515845,
20130804,3.276494779,
20130805,3.378201019,
20130806,3.542061072,
20130807,3.697445606,
20130808,3.803389606,
20130809,3.89520774,
20130810,3.983494406,
20130811,4.071781073,
20130812,4.16006774,
20130813,4.248354407,
20130814,4.336641074,
20130815,4.421396274,
20130816,4.509682941,
20130817,4.594438141,
20130818,4.682724808,
20130819,4.771011474,
20130820,4.855766675,
20130821,4.947584808,
20130822,5.046465875,
20130823,5.138284008,
20130824,5.233633608,
20130825,5.318388809,
20130826,5.403144009,
20130827,5.487899209,
20130828,5.569122942,
20130829,5.646815209,
20130830,5.728038943,
20130831,5.802199743,
20130901,5.87989201,
20130902,5.957584276,
20130903,6.031745076,
20130904,6.105905877,
20130905,6.180066677,
20130906,6.254227477,
20130907,6.328388277,
20130908,6.39901761,
20130909,6.494367211,
20130910,6.568528011,
20130911,6.635625877,
20130912,6.702723744,
20130913,6.773353078,
20130914,6.879297078,
20130915,6.956989345,
20130916,7.027618678,
20130917,7.098248012,
20130918,7.168877345,
20130919,7.253632545,
20130920,7.338387745,
20130921,7.493772279,
20130922,7.571464546,
20130923,7.638562412,
20130924,7.705660279,
20130925,7.769226679,
20130926,7.829261613,
20130927,7.889296546,
20130928,7.945800013,
20130929,8.005834946,
20130930,8.062338413,
20131001,8.12943628,
20131002,8.185939747,
20131003,8.238911747,
20131004,8.291883747,
20131005,8.34132428,
20131006,8.397827747,
20131007,8.450799747,
20131008,8.50024028,
20131009,8.546149347,
20131010,8.592058414,
20131011,8.637967481,
20131012,8.687408014,
20131013,8.733317081,
20131014,8.775694681,
20131015,8.818072281,
20131016,8.863981348,
20131017,8.909890414,
20131018,8.955799481,
20131019,9.001708548,
20131020,9.252442682,
20131021,9.319540548,
20131022,9.368981082,
20131023,9.411358682,
20131024,9.573806149,
20131025,9.630309616,
20131026,9.676218682,
20131027,9.715064816,
20131028,9.753910949,
20131029,9.792757083,
20131030,9.831603216,
20131031,9.866917883,
20131101,9.902232549,
20131102,9.937547216,
20131103,9.972861883,
20131104,10.01170802,
20131105,10.04349122,
20131106,10.07527442,
20131107,10.10705762,
20131108,10.13884082,
20131109,10.16709255,
20131110,10.19887575,
20131111,10.22712748,
20131112,10.25537922,
20131113,10.18121842,
20131114,10.21300162,
20131115,10.24125335,
20131116,10.26950508,
20131117,10.30128828,
20131118,10.32600855,
20131119,10.35426028,
20131120,10.37898055,
20131121,10.40370082,
20131122,10.42842108,
20131123,10.44960988,
20131124,10.55908535,
20131125,10.59793148,
20131126,10.62618322,
20131127,10.64737202,
20131128,10.67562375,
20131129,10.69681255,
20131130,10.72153282,
20131201,10.74272162,
20131202,10.76744188,
20131203,10.78863068,
20131204,10.80981948,
20131205,10.83100828,
20131206,10.84866562,
20131207,10.86985442,
20131208,10.88751175,
20131209,10.90516908,
20131210,10.92635788,
20131211,10.94401522,
20131212,10.95814108,
20131213,10.97579842,
20131214,10.99345575,
20131215,11.00758162,
20131216,11.02523895,
20131217,11.03936482,
20131218,11.05349068,
20131219,11.06761655,
20131220,11.08174242,
20131221,11.09586828,
20131222,11.10999415,
20131223,11.12058855,
20131224,11.13471442,
20131225,11.14530882,
20131226,11.15943468,
20131227,11.17002908,
20131228,11.18062348,
20131229,11.19121788,
20131230,11.20181228,
20131231,11.21240668,
20140101,11.22300108,
20140102,11.23359548,
20140103,11.24065842,
20140104,11.24772135,
20140105,11.25125282,
20140106,11.25478428,
20140107,11.25831575,
20140108,11.26184722,
20140109,11.26537868,
20140110,11.26891015,
20140111,11.26891015,
20140112,11.26891015,
20140113,11.26891015,
20140114,11.26891015,
20140115,11.26891015,
20140116,11.26891015,
20140117,11.26891015,
20140118,11.26891015,
20140119,11.26891015,
20140120,11.26891015,
20140121,11.26891015,
20140122,11.26891015,
20140123,11.26537868,
20140124,11.26537868,
20140125,11.26537868,
20140126,11.26537868,
20140127,11.26537868,
20140128,11.26184722,
20140129,11.26184722,
20140130,11.26184722,
20140131,11.25831575,
20140201,11.25831575,
20140202,11.25831575,
20140203,11.25478428,
20140204,11.25478428,
20140205,11.25125282,
20140206,11.24772135,
20140207,11.24772135,
20140208,11.24418988,
20140209,11.24065842,
20140210,11.24065842,
20140211,11.23712695,
20140212,11.23359548,
20140213,11.23359548,
20140214,11.23006402,
20140215,11.22653255,
20140216,11.07114802,
20140217,10.67915522,
20140218,10.29069388,
20140219,10.09999468,
20140220,9.708001882,
20140221,9.234785348,
20140222,7.93873708,
20140223,7.892828013,
20140224,7.839856013,
20140225,7.797478413,
20140226,7.779821079,
20140227,7.744506413,
20140228,7.726849079,
20140301,7.691534412,
20140302,7.387828279,
20140303,7.052338945,
20140304,6.43080081,
20140305,4.993493875,
20140306,3.944648273,
20140307,3.056131258,
20140308,2.168320537,
20140309,0.721831788,
20140310,0,
20140311,0,
20140312,0,
20140313,0,
20140314,0,
20140315,0,
20140316,0,
20140317,0,
20140318,0,
20140319,0,
20140320,0,
20140321,0,
20140322,0,
20140323,0,
20140324,0,
20140325,0,
20140326,0,
20140327,0,
20140328,0,
20140329,0,
20140330,0,
20140331,0,
20140401,0,
20140402,0,
20140403,0,
20140404,0,
20140405,0,
20140406,0,
20140407,0,
20140408,0,
20140409,0,
20140410,0,
20140411,0,
20140412,0,
20140413,0,
20140414,0,
20140415,0,
20140416,0,
20140417,0,
20140418,0,
20140419,0,
20140420,0,
20140421,0,
20140422,0,
20140423,0,
20140424,0,
20140425,0,
20140426,0,
20140427,0,
20140428,0,
20140429,0,
20140430,0,
20140501,0,
20140502,0,
20140503,0,
20140504,0,
20140505,0.012466077,
20140506,0,
20140507,0,
20140508,0,
20140509,0.287955793,
20140510,0.204189403,
20140511,0.105838056,
20140512,0,
20140513,0,
20140514,0,
20140515,0,
20140516,0,
20140517,0,
20140518,0,
20140519,0,
20140520,0,
20140521,0,
20140522,0,
20140523,0,
20140524,0,
20140525,0,
20140526,0,
20140527,0,
20140528,0,
20140529,0,
20140530,0,
20140531,0,
20140601,0,
20140602,0,
20140603,0,
20140604,0,
20140605,0,
20140606,0,
20140607,0,
20140608,0,
20140609,0,
20140610,0,
20140611,0,
20140612,0,
20140613,0,
20140614,0,
20140615,0,
20140616,0,
20140617,0,
20140618,0,
20140619,0,
20140620,0,
20140621,0,
20140622,0,
20140623,0,
20140624,0,
20140625,0,
20140626,0,
20140627,0,
20140628,0,
20140629,0,
20140630,0,
20140701,0,
20140702,0,
20140703,0,
20140704,0,
20140705,0,
20140706,0,
20140707,0,
20140708,0,
20140709,0,
20140710,0,
20140711,0,
20140712,0,
20140713,0.153901318,
20140714,0.246778891,
20140715,0.269239019,
20140716,0.2489684,
20140717,0.153971947,
20140718,0.044390536,
20140719,0,
20140720,0,
20140721,0,
20140722,0.263447414,
20140723,0.290992854,
20140724,0.535017201,
20140725,0.567153548,
20140726,0.553380828,
20140727,0.544552161,
20140728,0.608471708,
20140729,0.643786374,
20140730,0.628601068,
20140731,0.633898268,
20140801,0.687929708,
20140802,0.805880695,
20140803,0.868387655,
20140804,0.822831735,
20140805,0.962324668,
20140806,1.177037842,
20140807,1.321121682,
20140808,1.400579682,
20140809,1.463792936,
20140810,1.524181016,
20140811,1.584569096,
20140812,1.657317309,
20140813,1.719117976,
20140814,1.779859203,
20140815,1.840247283,
20140816,1.899575923,
20140817,1.95925771,
20140818,2.018939497,
20140819,2.082859043,
20140820,2.156666697,
20140821,2.21882051,
20140822,2.279561737,
20140823,2.340302964,
20140824,2.399984751,
20140825,2.459313391,
20140826,2.517935737,
20140827,2.575498644,
20140828,2.637652458,
20140829,2.737946111,
20140830,2.819522991,
20140831,2.985855072,
20140901,3.135236112,
20140902,3.261662619,
20140903,3.335823419,
20140904,3.483085579,
20140905,3.566781339,
20140906,3.644473606,
20140907,3.866956006,
20140908,3.95877414,
20140909,4.03293494,
20140910,4.103564273,
20140911,4.174193607,
20140912,4.241291474,
20140913,4.30838934,
20140914,4.37195574,
20140915,4.439053607,
20140916,4.502620007,
20140917,4.569717874,
20140918,4.629752808,
