Date,Evapotranspiration
20151001,43460
20151002,39530
20151003,42000
20151004,32400
20151005,52020
20151006,62370
20151007,52010
20151008,43260
20151009,42140
20151010,33230
20151011,55320
20151012,39080
20151013,37090
20151014,116300
20151015,108300
20151016,109900
20151017,120100
20151018,109800
20151019,106900
20151020,108000
20151021,103600
20151022,111700
20151023,131300
20151024,132700
20151025,119400
20151026,144800
20151027,116200
20151028,126400
20151029,60840
20151030,51870
20151031,55590
20151101,45900
20151102,20360
20151103,33010
20151104,28940
20151105,42130
20151106,90960
20151107,102400
20151108,110900
20151109,95140
20151110,58280
20151111,40090
20151112,42240
20151113,39330
20151114,120600
20151115,20430
20151116,46120
20151117,43310
20151118,127000
20151119,47700
20151120,43070
20151121,59140
20151122,99910
20151123,43660
20151124,64040
20151125,34960
20151126,110600
20151127,93090
20151128,132300
20151129,108300
20151130,99190
20151201,86260
20151202,107400
20151203,19930
20151204,105200
20151205,95540
20151206,88780
20151207,93650
20151208,102300
20151209,110600
20151210,98560
20151211,102900
20151212,105600
20151213,46230
20151214,98860
20151215,48250
20151216,55550
20151217,89580
20151218,110300
20151219,88200
20151220,95030
20151221,101300
20151222,88890
20151223,92800
20151224,103300
20151225,103600
20151226,149000
20151227,126100
20151228,105300
20151229,99390
20151230,96280
20151231,111900
20160101,96320
20160102,101600
20160103,99970
20160104,99010
20160105,118000
20160106,108200
20160107,131600
20160108,109100
20160109,115200
20160110,112600
20160111,121800
20160112,106700
20160113,117700
20160114,97710
20160115,98640
20160116,96400
20160117,119000
20160118,117900
20160119,105000
20160120,48150
20160121,97830
20160122,102500
20160123,116300
20160124,112300
20160125,103300
20160126,93180
20160127,109900
20160128,105900
20160129,105800
20160130,112800
20160131,99260
20160201,124600
20160202,125100
20160203,134500
20160204,119800
20160205,112900
20160206,130100
20160207,149900
20160208,115100
20160209,113900
20160210,120500
20160211,136300
20160212,107800
20160213,113500
20160214,114700
20160215,99660
20160216,112700
20160217,100400
20160218,121500
20160219,108200
20160220,94740
20160221,89010
20160222,90500
20160223,109200
20160224,95170
20160225,87660
20160226,29420
20160227,75250
20160228,76250
20160229,88420
20160301,88820
20160302,81730
20160303,90350
20160304,69640
20160305,80280
20160306,66730
20160307,65100
20160308,64100
20160309,61430
20160310,57950
20160311,52890
20160312,66040
20160313,54660
20160314,47360
20160315,11070
20160316,42320
20160317,39550
20160318,31260
20160319,30570
20160320,18210
20160321,11580
20160322,7921
20160323,1270
20160324,0
20160325,0
20160326,0
20160327,0
20160328,0
20160329,0
20160330,0
20160331,0
20160401,0
20160402,0
20160403,0
20160404,0
20160405,0
20160406,0
20160407,0
20160408,0
20160409,0
20160410,0
20160411,0
20160412,0
20160413,0
20160414,0
20160415,0
20160416,0
20160417,0
20160418,0
20160419,0
20160420,0
20160421,0
20160422,0
20160423,0
20160424,0
20160425,0
20160426,0
20160427,13.36
20160428,35.57
20160429,35.2
20160430,47.11
20160501,38.4
20160502,61.72
20160503,4.117
20160504,11.02
20160505,35.66
20160506,40.7
20160507,0
20160508,0
20160509,0
20160510,0
20160511,0
20160512,0
20160513,0
20160514,0
20160515,0
20160516,63.26
20160517,237.7
20160518,163.3
20160519,38.47
20160520,449.4
20160521,161.6
20160522,717.9
20160523,729.9
20160524,703.2
20160525,805.6
20160526,368.2
20160527,822
20160528,0
20160529,0
20160530,0
20160531,0
20160601,0
20160602,0
20160603,0
20160604,0
20160605,0
20160606,0
20160607,49.24
20160608,38.6
20160609,15.96
20160610,60.31
20160611,243.9
20160612,419.5
20160613,366.3
20160614,0
20160615,0
20160616,0
20160617,0
20160618,0
20160619,64.56
20160620,230.1
20160621,177.3
20160622,236.6
20160623,189.3
20160624,705.2
20160625,224
20160626,117.9
20160627,656.8
20160628,1448
20160629,1105
20160630,5270
20160701,3633
20160702,871.5
20160703,9694
20160704,9586
20160705,7039
20160706,5345
20160707,6249
20160708,6072
20160709,9563
20160710,6047
20160711,2417
20160712,10690
20160713,12540
20160714,10780
20160715,18810
20160716,14630
20160717,16430
20160718,22260
20160719,13930
20160720,2111
20160721,5181
20160722,20490
20160723,9474
20160724,17280
20160725,30710
20160726,32370
20160727,74340
20160728,12300
20160729,3300
20160730,11670
20160731,16420
20160801,24100
20160802,14770
20160803,18080
