Date,Simulated Storage
20120117,23.44187577
20120118,23.44187577
20120119,23.44540724
20120120,23.44540724
20120121,23.44540724
20120122,23.44187577
20120123,23.43481284
20120124,23.42068697
20120125,23.4065611
20120126,23.38890377
20120127,23.3641835
20120128,23.33946324
20120129,23.3112115
20120130,23.27589684
20120131,23.26177097
20120201,23.24058217
20120202,23.21233044
20120203,23.19820457
20120204,23.1840787
20120205,23.1628899
20120206,23.14523257
20120207,23.12404377
20120208,23.0993235
20120209,23.0781347
20120210,23.0569459
20120211,23.04282004
20120212,23.01809977
20120213,22.9933795
20120214,22.9721907
20120215,22.94393897
20120216,22.9192187
20120217,22.89449844
20120218,22.8662467
20120219,22.83799497
20120220,22.8132747
20120221,22.78502297
20120222,22.75323977
20120223,22.72145657
20120224,22.68967337
20120225,22.66142164
20120226,22.62610697
20120227,22.5801979
20120228,22.5378203
20120229,22.48837977
20120301,22.4424707
20120302,22.39656164
20120303,22.35418404
20120304,22.30827497
20120305,22.2623659
20120306,22.21645684
20120307,22.17054777
20120308,22.1246387
20120309,22.12110724
20120310,22.12110724
20120311,22.12110724
20120312,22.11757577
20120313,22.1140443
20120314,22.11757577
20120315,22.1140443
20120316,20.6308283
20120317,19.50075896
20120318,19.15467523
20120319,18.8615635
20120320,18.5649203
20120321,18.3000603
20120322,18.0352003
20120323,17.76680883
20120324,17.50194883
20120325,17.23708883
20120326,16.98988616
20120327,16.74268349
20120328,16.49194936
20120329,16.24827816
20120330,16.00107549
20120331,15.75387283
20120401,15.50313869
20120402,15.29478216
20120403,15.05111096
20120404,14.81097122
20120405,14.22474776
20120406,13.63146136
20120407,13.04170642
20120408,12.44842002
20120409,11.76684695
20120410,11.07821095
20120411,10.38251202
20120412,9.708001882
20120413,9.029960281
20120414,8.355450147
20120415,7.454926145
20120416,6.476709877
20120417,5.452584542
20120418,4.35076694
20120419,3.255305979
20120420,2.173617737
20120421,1.193635735
20120422,0.21142891
20120423,0
20120424,0
20120425,0
20120426,0
20120427,0
20120428,0
20120429,0
20120430,0
20120501,0
20120502,0
20120503,0
20120504,0
20120505,0
20120506,0
20120507,0
20120508,0
20120509,0
20120510,0
20120511,0
20120512,0.232264563
20120513,0.162129635
20120514,0.036303477
