Date,Simulated Storage
20130208,0
20130209,0
20130210,0
20130211,0
20130212,0
20130213,0
20130214,0
20130215,0
20130216,0
20130217,0
20130218,0
20130219,0
20130220,0
20130221,0
20130222,0
20130223,0
20130224,0
20130225,0
20130226,0
20130227,0
20130228,0
20130301,0
20130302,0
20130303,0
20130304,0
20130305,0
20130306,0
20130307,0
20130308,0.120564272
20130309,0.024338868
20130310,0
20130311,0
20130312,0
20130313,0
20130314,0
20130315,0
20130316,0
20130317,0.026408308
20130318,0.052760112
20130319,0.144825448
20130320,0.187768083
20130321,0.220787296
20130322,0.251405112
20130323,0.275242512
20130324,0.299044598
20130325,0.323164515
20130326,0.346790027
20130327,0.371863441
20130328,0.395171121
20130329,0.418478801
20130330,0.441080187
20130331,0.462975281
20130401,0.484164081
20130402,0.504646588
20130403,0.524422801
20130404,0.545611601
20130405,0.561856348
20130406,0.575275921
20130407,0.587989201
20130408,0.599289894
20130409,0.609884294
20130410,0.621184988
20130411,0.630719948
20130412,0.637782881
20130413,0.634957708
20130414,0.630366801
20130415,0.625422748
20130416,0.618006668
20130417,0.609531148
20130418,0.602115068
20130419,0.592226961
20130420,0.585870321
20130421,0.576688508
20130422,0.567153548
20130423,0.558324881
20130424,0.538901814
20130425,0.509590641
20130426,0.481692054
20130427,0.456265494
20130428,0.429779494
20130429,0.404706081
20130430,0.379279521
20130501,0.353499814
20130502,0.327896681
20130503,0.303105785
20130504,0.287461387
20130505,0.272240766
20130506,0.257479235
20130507,0.242929592
20130508,0.239539384
20130509,0.243035536
20130510,0.246355115
20130511,0.249957211
20130512,0.254124342
20130513,0.259209654
20130514,0.25804427
20130515,0.256419795
20130516,0.248473995
20130517,0.240139734
20130518,0.223329952
20130519,0.164425088
20130520,0.103860435
20130521,0.071194368
20130522,0.033972709
20130523,0
20130524,0
20130525,0
20130526,0
20130527,0
20130528,0
20130529,0
20130530,0
20130531,0
20130601,1.010705762
20130602,1.165384002
20130603,1.171387495
20130604,1.135013389
20130605,1.103230188
20130606,1.063677762
20130607,1.023419042
20130608,0.994107868
20130609,0.973625362
20130610,0.954202295
20130611,0.936544962
20130612,0.915709308
20130613,0.895933095
20130614,0.875803735
20130615,1.040370082
20130616,1.200698669
20130617,1.287572749
20130618,1.384688082
20130619,1.415764989
20130620,1.435541202
20130621,1.452492242
20130622,1.471562162
20130623,1.492750962
20130624,1.521355842
20130625,1.822943096
20130626,2.516876297
20130627,2.715344724
20130628,2.803631391
20130629,2.866844645
20130630,2.924407551
20130701,2.983383045
20130702,3.048008885
20130703,3.316047205
20130704,5.908143743
20130705,6.444926677
20130706,6.706255211
20130707,6.854576811
20130708,6.971115211
20130709,7.080590678
20130710,7.193597612
20130711,7.310136012
20130712,7.437268812
20130713,7.596184812
20130714,7.748037879
20130715,7.885765079
20130716,8.027023746
20130717,8.570869614
20130718,8.913421881
20130719,9.513771215
20130720,11.30775629
20130721,12.24006349
20130722,12.66383949
20130723,12.98167149
20130724,13.97048216
20130725,15.06170536
20130726,15.79271896
20130727,16.28006136
20130728,17.21943149
20130729,17.78799763
20130730,18.10229816
20130731,18.41306723
20130801,19.03813683
20130802,21.68320537
20130803,23.27589684
20130804,23.47719044
20130805,23.47719044
20130806,23.5125051
20130807,23.5125051
20130808,23.5125051
20130809,23.5125051
20130810,23.5125051
20130811,23.5125051
20130812,23.5125051
20130813,23.5125051
20130814,23.5125051
20130815,23.5125051
20130816,23.5125051
20130817,23.5125051
20130818,23.5125051
20130819,23.5125051
20130820,23.5125051
20130821,23.48425337
20130822,23.4701275
20130823,23.46659604
20130824,23.4701275
20130825,23.51956804
20130826,23.51956804
20130827,23.51956804
20130828,23.51956804
20130829,23.51956804
20130830,23.51956804
20130831,23.51956804
20130901,23.41362404
20130902,23.41009257
20130903,23.4065611
20130904,23.4065611
20130905,23.4065611
20130906,23.40302964
20130907,23.39949817
20130908,23.49837924
20130909,23.49837924
20130910,23.49837924
20130911,23.49837924
20130912,23.49837924
20130913,23.49837924
20130914,23.49837924
20130915,23.42421844
20130916,23.27236537
20130917,22.9933795
20130918,23.3641835
20130919,23.49837924
20130920,23.49837924
20130921,23.49837924
20130922,23.51956804
20130923,23.51956804
20130924,23.51956804
20130925,23.37124644
20130926,23.28295977
20130927,23.51956804
20130928,23.51956804
20130929,23.49837924
20130930,23.49837924
20131001,23.12757524
20131002,22.75323977
20131003,22.73558244
20131004,21.72558297
20131005,20.39422003
20131006,19.00635363
20131007,17.13820776
20131008,15.52432749
20131009,14.83922296
20131010,14.68030696
20131011,14.27418829
20131012,14.14352402
20131013,13.81862909
20131014,13.49020269
20131015,13.56436349
20131016,13.60674109
20131017,13.62439842
20131018,13.60674109
20131019,13.48313976
20131020,14.36600642
20131021,14.42250989
20131022,14.36600642
20131023,14.13292962
20131024,13.98813949
20131025,13.88572696
20131026,13.76918856
20131027,13.64911869
20131028,13.53611176
20131029,13.42663629
20131030,13.31009789
20131031,13.18649655
20131101,12.79097229
20131102,12.02111255
20131103,11.24418988
20131104,10.79216215
20131105,10.23065895
20131106,10.00464508
20131107,9.757442416
20131108,9.075869348
20131109,8.574401081
20131110,8.306009613
20131111,8.12943628
20131112,7.952862946
20131113,7.762163746
20131114,7.567933079
20131115,7.366639479
20131116,7.161814412
20131117,6.956989345
20131118,6.748632811
20131119,6.536744811
20131120,6.317793877
20131121,6.098842943
20131122,5.876360543
20131123,5.643283742
20131124,6.13415761
20131125,6.045870943
20131126,5.862234676
20131127,5.650346676
20131128,5.427864275
20131129,5.201850408
20131130,5.025277075
20131201,4.799263208
20131202,4.583843741
20131203,4.347235474
20131204,4.110627207
20131205,3.866956006
20131206,3.676256806
20131207,3.483791872
20131208,3.236942352
20131209,2.987620805
20131210,2.736886671
20131211,2.483680511
20131212,2.229061764
20131213,1.97197099
20131214,1.712408189
20131215,1.451785949
20131216,1.189044829
20131217,0.923831682
20131218,0.656852801
20131219,0.388108187
20131220,0.117350638
20131221,0
20131222,0
20131223,0
20131224,0
20131225,0
20131226,0
20131227,0
20131228,0
20131229,0
20131230,0
20131231,0
20140101,0
20140102,0
20140103,0
20140104,0
20140105,0
20140106,0
20140107,0
20140108,0
20140109,0
20140110,0
20140111,0
20140112,0
20140113,0
20140114,0
20140115,0
20140116,0
20140117,0
20140118,0
20140119,0
20140120,0
20140121,0
20140122,0
20140123,0
20140124,0
20140125,0
20140126,0
20140127,0
20140128,0
20140129,0
20140130,0
20140131,0
20140201,0
20140202,0
20140203,0
20140204,0
20140205,0
20140206,0
20140207,0
20140208,0
20140209,0
20140210,0
20140211,0
20140212,0
20140213,0
20140214,0
20140215,0
20140216,0
20140217,0
20140218,0
20140219,0
20140220,0
20140221,0
20140222,0
20140223,0
20140224,0
20140225,0
20140226,0
20140227,0
20140228,0
20140301,0
20140302,0
20140303,0
20140304,0
20140305,0
20140306,0
20140307,0
20140308,0
20140309,0
20140310,0
20140311,0
20140312,0
20140313,0
20140314,0
20140315,0
20140316,0
20140317,0
20140318,0
20140319,0
20140320,0
20140321,0
20140322,0
20140323,0
