Date,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30
12-05-20,21.46884727,21.10598755,21.38012123,20.39525604,17.78106117,18.245327,20.96710396,19.34952164,18.47000313,18.9287014,18.0449295,17.82920647,22.96744347,26.7881546,21.81763268,14.74564838,26.74843979,36.61817169,29.33470345,17.78115845,35.35515976,65.77775574,81.15665436,82.73344421,74.00823212,55.19338226,35.92411804,16.82588196,7.839309216,25.26391602
13-05-20,24.83425903,24.26214409,24.4853363,23.05289078,18.33960724,17.60011101,19.55076218,16.71079254,17.6237278,19.83633041,17.20942688,16.11460304,21.5514431,26.68327522,20.36488152,11.64898014,31.00562096,43.88050079,33.58785629,13.67312908,39.24049377,79.03772736,98.74165344,100.9292068,90.30322266,67.2401123,43.2897377,19.24727631,9.335398674,31.39023209
14-05-20,25.0138092,24.38017082,24.39436913,22.78163528,18.47441101,17.68780899,19.33291054,17.00839233,17.95415688,19.45995903,16.40122604,13.83469772,18.44990921,23.28108597,17.80855942,10.86329842,29.63736153,41.75730896,32.23697281,9.819660187,32.08338165,69.56432343,88.40193939,90.99643707,81.63314819,60.52260208,38.31803894,16.02804947,10.87766457,30.95869064
15-05-20,19.39103127,18.92128563,18.69127464,17.17204285,15.2027359,16.86141968,19.76894951,18.34157372,17.21039009,17.12288094,14.22320461,11.71987724,16.27368355,22.47050095,22.65080452,20.19837379,26.89215088,33.43447876,26.13702393,12.35103703,26.85064316,54.24430466,68.28466797,70.30912781,63.35504913,47.50407791,31.01044273,14.67769241,7.332980156,21.64617538
16-05-20,11.29030991,11.2894125,11.08617401,10.61614227,10.28498459,10.81888676,12.32512665,12.37954426,11.23071957,9.892664909,9.950528145,11.00868893,12.67718601,12.28778458,9.348112106,7.54761219,10.97196484,14.04864311,13.75093746,11.23305225,10.58689404,14.69094086,17.72947693,18.11851501,16.39588165,12.53225517,8.83246994,6.164654255,5.410626411,6.851952553
17-05-20,24.45262146,27.70208168,28.2661705,24.35969162,19.77616119,17.58002472,17.27521706,15.66863632,11.09978104,6.551799297,6.92042923,9.913423538,11.85925961,11.41726971,8.499727249,6.077352524,5.877807617,6.461781025,7.4001441,7.55745554,6.899899006,6.445922375,5.825170517,4.962718487,4.60174799,5.027402878,5.782322884,6.507323742,6.129064083,4.597317696
18-05-20,29.83027267,33.87680435,34.63830948,29.83097839,23.3493557,17.88206291,13.15946579,8.976976395,6.100224972,5.729698181,5.910027027,5.679445267,6.541829586,6.907283306,7.078319073,7.264427662,6.395441055,4.818491459,5.514951706,7.347595215,7.75824976,7.658863068,6.657140255,5.627131939,5.177249432,5.696441174,6.259354115,6.915243149,6.359832764,4.807933807
19-05-20,18.4581337,19.95523071,19.88573647,17.56995201,15.13104343,12.76899433,11.6047821,10.21504879,9.379958153,8.903007507,9.127313614,8.798807144,10.06167316,9.73923111,8.748166084,7.479380608,5.881736755,3.74933815,3.186157942,3.703300953,3.824385405,3.69511795,3.253968239,2.95159936,3.055312872,3.53199029,4.980425358,7.111334801,7.88324976,6.770328522
20-05-20,27.22079468,29.00770187,27.99230194,23.50873756,18.83174324,15.11766624,12.636693,10.40157795,9.302083969,9.011585236,9.276878357,8.777662277,9.93920517,9.573784828,8.592458725,7.424062252,5.852577209,3.656247854,3.754649162,5.11222887,5.503039837,5.440732002,4.905772209,4.404160023,4.312773705,4.801893234,6.13343811,7.992655754,8.440592766,7.143810272
21-05-20,10.42344666,10.31090546,10.0952673,9.868011475,9.728186607,9.27385807,9.231940269,8.914942741,8.954517365,8.640400887,8.682882309,8.341961861,8.867536545,8.275776863,7.26030159,6.103579521,5.181921482,4.457620144,4.126639843,3.941202879,3.786224604,3.561396122,3.291644573,3.041643143,2.961964846,3.010036469,3.713347912,5.055606842,5.5504632,4.882664204
22-05-20,11.73427677,11.57817268,11.48515606,11.40310955,11.49050903,11.17015457,10.66480255,9.981225014,9.76269722,9.209755898,8.934826851,8.322973251,8.566497803,8.187000275,7.863071442,7.671298981,8.144150734,9.252738953,9.736470222,9.831027031,9.605333328,9.130120277,8.220333099,7.186077118,6.489849091,6.238306522,5.580436707,5.168138504,4.729030609,4.422313213
23-05-20,21.76872444,23.21729088,23.71544266,22.06715012,19.86690521,17.98509216,15.82302666,14.36426735,14.37151909,13.89512062,13.45519924,12.57878685,12.15314484,11.32536697,10.51977444,9.792557716,9.756372452,10.3616209,11.12547016,11.46611404,11.76624107,11.50419998,10.94076157,9.892191887,8.79175663,7.617628574,6.204041481,4.481682301,3.306932449,3.734221697
24-05-20,13.62975216,13.50953293,13.67680454,13.86285591,13.84991837,13.41872978,12.49496746,12.66207886,13.96240616,14.24009418,14.14214611,13.78031063,13.27660847,12.3275671,11.47357559,10.94137859,11.40489197,12.79330826,13.53628826,13.7643795,13.69200611,13.11217785,11.85863304,10.28300476,9.084475517,8.425382614,6.887401581,5.056132793,3.944090366,4.566771984
25-05-20,15.54533005,15.53745079,15.70139694,15.57348633,15.3234272,14.96378613,14.1598196,13.3406496,13.26956081,12.64770508,12.34737587,11.75047302,11.82420921,11.24363613,10.27812576,9.55961132,10.80027103,12.95074844,13.25611019,12.60523319,12.56064034,13.63084507,14.26457977,13.64724922,12.13460922,9.666333199,6.927783489,4.232646942,3.409151316,5.700681686
26-05-20,12.63390923,12.589077,12.7208519,12.93035412,14.0056982,15.68550587,17.04448318,17.31688881,17.1749382,15.57686615,13.36187363,10.28127575,9.191160202,8.441596031,7.696693897,7.239974022,8.671797752,10.71548748,10.76342964,10.35328293,11.69799614,15.05654716,16.5899868,16.21709824,14.57130623,11.86907196,8.440302849,4.962990761,3.080608368,5.492189884
27-05-20,11.63427067,11.49657536,11.38543034,11.09675789,10.98542118,10.97126293,10.73681164,10.7382021,11.11513329,10.75496006,10.30005264,9.737136841,9.581792831,9.130674362,8.844165802,8.766289711,9.393152237,10.68273926,11.13269424,11.1273613,10.90726852,10.54201412,9.568284988,8.357855797,7.476019859,6.978268623,5.588568687,3.996408701,2.843340635,3.192521811
28-05-20,8.083327293,7.894469261,7.728971004,7.367311478,6.606840611,6.364370346,6.735069275,6.157939434,5.635717392,5.958827496,5.790841579,5.62665081,5.812643051,6.145909786,6.163152218,6.89338398,10.01949692,12.60534763,11.28679943,8.621780396,9.239943504,14.59458256,17.96226501,18.6599865,16.98182106,13.06575966,9.453385353,6.951581001,7.230558872,9.917157173
29-05-20,6.004812717,5.96654129,5.945288658,5.865050316,5.88847208,5.774663925,5.631278992,5.393885612,5.423994064,5.149028778,5.05403471,4.633526325,4.70953846,4.372426033,4.021204948,3.721004009,3.796826839,4.288774967,4.602435112,4.663994312,4.571579933,4.357143402,4.048771858,3.712873459,3.27327323,2.837013006,2.841314316,3.593331337,4.002335548,3.64890337
