67,I-Bv-Lc-2-67
68,I-E-Lc-bc-68
69,I-E-bc-69
71,I-Jc-Xk-2-71
72,I-Je-72
73,I-Lc-Re-b-73
74,I-R-74
76,I-R-bc-76
77,I-Rc-77
78,I-Rc-bc-78
79,I-Rd-79
80,I-Rd-So-80
159,Ne15-3c-159
160,Ne20-3b-160
161,Ne26-2-3b-161
162,Ne27-2b-162
163,Ne28-2a-163
164,Ne7-2-3b-164
165,Qc1-1a-165
167,Qc10-1c-167
168,Qc13-1a-168
169,Qc15-1a-169
171,Qc16-1a-171
172,Qc17-1a-172
173,Qc18-1a-173
174,Qc19-1c-174
176,Qc2-1bc-176
178,Qc21-1a-178
179,Qc22-1b-179
180,Qc22-1b-180
181,Qc4-1a-181
182,Qc5-1c-182
183,Qc8-1a-183
184,Qc9-1b-184
185,Qf21-1a-185
186,Qf21-1a-186
187,Qf4-1a-187
188,Ql11-1b-188
189,Ql15-1a-189
190,Ql22-1a-190
191,Ql23-1a-191
192,Ql24-1a-192
193,ROCK-193
194,Rc1-2a-194
195,Rc15-1-2a-195
196,Rc16-1b-196
198,Rc17-3a-198
199,Rc18-2b-199
201,Rc18-3b-201
202,Rc19-2ab-202
204,Rc19-bc-204
205,Rc2-2b-205
207,Rc2-3c-207
208,Rc20-3a-208
210,Rc20-ab-210
211,Rc21-2c-211
213,Rc22-2b-213
215,Rc23-1-2a-215
216,Rc23-2-3c-216
218,Rc24-1ab-218
220,Rc24-2c-220
221,Rc25-3c-221
224,Rd12-2bc-224
225,Rd17-2b-225
228,Rd18-3ab-228
229,Rd2-2c-229
231,Re1-1-2a-231
232,Re1-1a-232
233,Re1-1a-233
234,Re1-1b-234
235,Re16-b-235
237,Re24-2c-237
238,Re39-1a-238
239,Re47-2c-239
240,Re48-2a-240
241,Re51-1a-241
242,Re51-b-242
243,Re52-243
244,Re59-2b-244
246,Re59-2c-246
247,Re59-a-247
248,Re63-2c-248
249,Re64-2a-249
250,Re65-1a-250
251,SALT-251
252,So10-2a-252
253,So12-3ab-253
255,So8-2-3a-255
256,So9-2-3a-256
257,To6-2bc-257
258,Vc1-2-3a-258
260,Vc13-3a-260
261,Vc14-3a-261
262,Vc23-3a-262
263,Vc25-3a-263
264,Vc26-3a-264
265,Vc27-3a-265
266,Vc28-3a-266
267,Vc29-3a-267
268,Vc29-3a-268
269,Vc30-3a-269
270,Vc31-2-3a-270
272,Vc32-3a-272
273,Vc33-3a-273
274,Vc34-3a-274
276,Vc35-3a-276
277,Vc36-3a-277
278,Vc37-3a-278
279,Vc7-3a-279
280,Vc8-3a-280
281,Vc8-3a-281
283,Vp1-3a-283
285,Vp10-3a-285
286,Vp14-3a-286
287,Vp15-3a-287
288,Vp16-3a-288
290,Vp20-3a-290
291,Vp24-2a-291
292,Vp24-3a-292
293,Vp26-293
294,Vp7-3a-294
295,Vp8-295
297,X8-2a-297
300,Xh14-1a-300
303,Xh14-ab-303
305,Xh15-2a-305
306,Xh15-3a-306
308,Xh15-a-308
309,Xh16-a-309
310,Xh17-2a-310
311,Xh19-2a-311
313,Xh2-3a-313
314,Xh20-2a-314
315,Xh21-2a-315
318,Xk1-2-3a-318
320,Xk12-2a-320
322,Xk16-2a-322
323,Xk19-2a-323
324,Xk19-2a-324
328,Xk20-2a-328
329,Xk9-2ab-329
331,Xl14-2a-331
333,Xy2-2a-333
334,Xy3-2ab-334
335,Y11-ab-335
336,Y12-1a-336
337,Y3-2a-337
339,Y5-1a-339
340,Y8-a-340
341,Y8-a-341
343,Yh15-1a-343
348,Yh16-2-3c-348
349,Yh16-2c-349
352,Yh17-2c-352
354,Yh18-2c-354
356,Yh19-2a-356
357,Yh20-2b-357
358,Yh21-2ab-358
360,Yk10-1a-360
361,Yk15-2a-361
362,Yk15-2ab-362
363,Yk16-2a-363
366,Yk18-1a-366
367,Yk19-1-2a-367
368,Yk19-1-2a-368
369,Yk2-3a-369
371,Yk20-1ab-371
372,Yk21-1a-372
374,Yk22-1-2a-374
