time,sub1,sub2,sub3,sub4,sub5,sub6,sub7,sub8,sub9,sub10,sub11,sub12,sub13,sub14,sub15
28-05-1951,0.072415501,0.804834604,16.30208695,33.16492105,20.68929895,61.62808609,15.13638349,2.488157451,13.16275011,4.227208972,20.09003925,7.07409431,0.343388001,5.749705393,2.046681771
29-05-1951,4.577537179,8.755339622,2.732370675,0,0,0,0.116218219,1.537699819,0.748154111,4.120298609,0,0.100992158,6.544286887,1.966552049,0.833968704
30-05-1951,3.853054971,12.48591232,6.037038247,8.409919058,27.79795726,0,36.87902578,24.67987013,7.009471166,13.58244443,10.41230011,9.212128639,25.56461455,8.027793884,10.10819532
31-05-1951,4.243384719,3.265300989,4.940207624,3.291525058,0,0,2.855447536,11.08433503,12.78608877,11.32734686,5.922271252,1.428254604,0.730002006,5.20595614,4.414621097
01-06-1951,21.3718909,7.153850555,9.97464055,10.3702178,3.518691808,3.287218332,6.552138944,32.76932612,5.175476086,27.61336428,0,0,0.336755534,2.134728636,2.535044502
02-06-1951,1.740099534,2.224683285,2.255570459,5.36727755,18.59504,0,9.738943656,8.781086564,2.830000199,6.930728346,0,0,0,0.091354089,0.300688624
03-06-1951,0.375,7.187222004,2.637677876,2.105184016,1.292137096,0.409374326,0.569990737,2.01895389,0.086777293,2.248542711,1.895919353,0.797559261,1.683799227,1.363180435,0.498512328
04-06-1951,19.47389412,2.326355219,8.893962165,11.59172465,3.489196569,38.65732574,5.357044339,17.78396934,1.84622281,9.297803611,5.223187447,0,3.440691471,3.687048044,0.730635211
05-06-1951,5.044813395,0.33509925,1.891058207,1.969254076,3.607012192,2.307994604,0.466429435,9.658677101,0.31728466,9.803267092,0,3.893545896,0,1.889488321,1.217027655
06-06-1951,0.121157303,2.105446815,0.776689242,2.100048322,0,0,0.120384954,10.63082404,0.498863557,4.277066812,0,0,1.632531484,0.553516946,0.146674462
07-06-1951,0,0.547030628,1.353337551,0.426035809,0,0,0.026516641,10.19152251,0.336363148,8.919895887,0,0.449747145,0.270967126,0,0
08-06-1951,0.067309618,0.284826308,0.30442065,0,0,0,0.032021711,4.475997925,0,3.727395624,0,0,0,0,0
09-06-1951,0.121157303,0.960089326,1.513767093,0,0,0,0.148016661,7.792233706,0,13.68148166,0,0,0,0,0.242243707
10-06-1951,4.809306338,10.74237347,8.712934129,0,0,0,0.205374718,22.70191038,0,18.98171008,0,0,0,0.395301887,0.584648696
11-06-1951,6.987520814,17.57582855,10.93508693,0.894261003,0,0,1.473058964,53.51524758,0.082175509,22.60435271,0.28882882,0,0,0.547544939,0.811561299
12-06-1951,8.666692495,13.94615555,10.41793597,1.271766618,0.111983652,5.776348114,0.536719814,34.70320606,0.507329148,15.87331827,0,0,0.055628483,0.264563614,0.341298811
13-06-1951,5.985728145,12.50547695,7.0986175,1.447154611,0.430868705,0.185348108,0.927705437,30.43253648,2.638172363,2.805287749,0,0.349693894,2.214129735,0.930456862,0.224142929
14-06-1951,4.795675874,13.72787952,10.32528504,0.959063103,0.385986527,0.158910409,2.209774196,22.7981348,1.484459861,9.307717144,0,0.458093166,0,0.646690693,0.256838188
15-06-1951,3.649822146,4.2767663,3.95419897,0,0,0,0.105451517,21.92743286,0.096331788,14.22012341,0,0.258945346,0,0.218795572,0.062643463
16-06-1951,1.940108955,3.400701523,2.346120354,0,0,0,1.82976374,7.072454929,0,4.266036808,0,0,0.445595304,0.019535318,0.09155119
17-06-1951,0.280213833,1.169233561,0.131534055,0,0,0,0,2.171771273,0,1.69527211,0,0,0,0,0
18-06-1951,0.301444646,1.572751045,0.442386091,0,0,0,0,6.667094827,0,0.266146481,0,0,0.251413395,0,0.139034582
19-06-1951,1.573043764,5.347974777,1.561472118,0,0,0,0.664563773,16.84540713,0,9.52317363,0,0,0,0,0.093965188
20-06-1951,1.082258835,2.113020658,0.828923155,0,0,0,0.171646436,11.49478275,0.08711322,11.48382717,0,0,0.05124488,0.3538311,0.050114768
21-06-1951,0.409920171,1.741028428,1.530552387,2.232468914,0,0,0.079489169,6.69378721,2.438119467,6.564587265,0,4.612880826,0.01002132,0.125848176,0.013341919
