Date,Evapotranspiration,,
20120617,781.9,,
20120618,778.1,,
20120619,4961,,
20120620,6358,,
20120621,21970,,
20120622,11760,,
20120623,23900,,
20120624,19810,,
20120625,15840,,
20120626,27940,,
20120627,8878,,
20120628,3774,,
20120629,4194,,
20120630,44750,,
20120701,17690,,
20120702,16870,,
20120703,13860,,
20120704,30400,,
20120705,26770,,
20120706,34510,,
20120707,32800,,
20120708,28700,,
20120709,22860,,
20120710,10580,,
20120711,26270,,
20120712,9344,,
20120713,10800,,
20120714,13510,,
20120715,9653,,
20120716,26000,,
20120717,21490,,
20120718,37050,,
20120719,35430,,
20120720,15470,,
20120721,5971,,
20120722,39200,,
20120723,31350,,
20120724,39550,,
20120725,24900,,
20120726,21710,,
20120727,42260,,
20120728,18880,,
20120729,55100,,
20120730,47890,,
20120731,48430,,
20120801,31820,,
20120802,36200,,
20120803,49550,,
20120804,21060,,
20120805,21220,,
20120806,16770,,
20120807,27570,,
20120808,29040,,
20120809,37750,,
20120810,39510,,
20120811,41210,,
20120812,15730,,
20120813,77320,,
20120814,48310,,
20120815,123500,,
20120816,32020,,
20120817,38100,,
20120818,33980,,
20120819,45630,,
20120820,56650,,
20120821,165200,,
20120822,143800,,
20120823,163700,,
20120824,58820,,
20120825,62310,,
20120826,79890,,
20120827,59960,,
20120828,33820,,
20120829,62700,,
20120830,85430,,
20120831,48490,,
20120901,105500,,
20120902,92520,,
20120903,119800,,
20120904,72570,,
20120905,99200,,
20120906,72750,,
20120907,65800,,
20120908,97860,,
20120909,82480,,
20120910,38620,,
20120911,63770,,
20120912,79750,,
20120913,93450,,
20120914,42190,,
20120915,60230,,
20120916,92100,,
20120917,114500,,
20120918,80020,,
20120919,60590,,
20120920,251800,,
20120921,196200,,
20120922,199600,,
20120923,216000,,
20120924,160100,,
20120925,158100,,
20120926,180500,,
20120927,140700,,
20120928,54950,,
20120929,42600,,
20120930,41410,,
20121001,49780,,
20121002,61750,,
20121003,29580,,
20121004,30220,,
20121005,16780,,
20121006,9204,,
20121007,6510,,
20121008,0,,
20121009,0,,
20121010,0,,
20121011,0,,
20121012,0,,
20121013,0,,
20121014,0,,
20121015,0,,
20121016,0,,
20121017,0,,
20121018,0,,
20121019,0,,
20121020,0,,
20121021,0,,
20121022,0,,
20121023,0,,
20121024,0,,
20121025,0,,
20121026,0,,
20121027,0,,
20121028,0,,
20121029,0,,
20121030,0,,
20121031,0,,
20121101,0,,
20121102,959.7,,
20121103,2331,,
20121104,2832,,
20121105,1707,,
20121106,957.8,,
20121107,403.2,,
20121108,0,,
20121109,0,,
20121110,0,,
20121111,0,,
20121112,0,,
20121113,0,,
20121114,0,,
20121115,0,,
20121116,0,,
20121117,0,,
20121118,0,,
20121119,0,,
20121120,0,,
20121121,0,,
20121122,0,,
20121123,0,,
20121124,0,,
20121125,0,,
20121126,0,,
20121127,0,,
20121128,0,,
20121129,0,,
20121130,0,,
20121201,0,,
20121202,0,,
20121203,0,,
20121204,0,,
20121205,0,,
20121206,0,,
20121207,0,,
20121208,0,,
20121209,0,,
20121210,0,,
20121211,0,,
20121212,0,,
20121213,0,,
20121214,0,,
20121215,0,,
20121216,0,,
20121217,0,,
20121218,0,,
20121219,0,,
20121220,0,,
20121221,0,,
20121222,0,,
20121223,0,,
20121224,0,,
20121225,0,,
20121226,0,,
20121227,0,,
20121228,0,,
20121229,0,,
20121230,0,,
20121231,0,,
20130101,0,,
20130102,0,,
20130103,0,,
20130104,0,,
20130105,0,,
20130106,0,,
20130107,0,,
20130108,0,,
20130109,0,,
20130110,0,,
20130111,0,,
20130112,0,,
20130113,0,,
20130114,0,,
20130115,0,,
20130116,0,,
20130117,0,,
20130118,0,,
20130119,0,,
20130120,0,,
20130121,0,,
20130122,0,,
20130123,0,,
20130124,0,,
20130125,0,,
20130126,0,,
20130127,0,,
20130128,0,,
20130129,0,,
20130130,0,,
20130131,0,,
20130201,0,,
20130202,0,,
20130203,0,,
20130204,0,,
20130205,0,,
20130206,0,,
20130207,0,,
20130208,0,,
20130209,0,,
20130210,0,,
20130211,0,,
20130212,0,,
20130213,0,,
20130214,0,,
20130215,0,,
20130216,0,,
20130217,0,,
20130218,0,,
20130219,0,,
20130220,0,,
20130221,0,,
20130222,0,,
20130223,0,,
20130224,0,,
20130225,0,,
20130226,0,,
20130227,0,,
20130228,0,,
20130301,0,,
20130302,0,,
20130303,0,,
20130304,0,,
20130305,0,,
20130306,0,,
20130307,0,,
20130308,0,,
20130309,1702,,
20130310,362.6,,
20130311,0,,
20130312,0,,
20130313,0,,
20130314,0,,
20130315,0,,
20130316,0,,
20130317,0,,
20130318,413.3,,
20130319,245.5,,
20130320,1978,,
20130321,2993,,
20130322,2907,,
20130323,3571,,
20130324,4093,,
20130325,3972,,
20130326,4959,,
20130327,1917,,
20130328,5852,,
20130329,4889,,
20130330,5905,,
20130331,5538,,
20130401,5781,,
20130402,6587,,
20130403,6882,,
20130404,2221,,
20130405,7219,,
20130406,8005,,
20130407,8013,,
20130408,8224,,
20130409,9144,,
20130410,2385,,
20130411,11300,,
20130412,8523,,
20130413,7479,,
20130414,8335,,
20130415,7633,,
20130416,8858,,
20130417,9261,,
20130418,10040,,
20130419,8454,,
20130420,8878,,
20130421,10280,,
20130422,9824,,
20130423,8123,,
20130424,3602,,
20130425,7774,,
20130426,3469,,
20130427,2367,,
20130428,3097,,
20130429,2583,,
20130430,3253,,
20130501,4469,,
20130502,4770,,
20130503,1984,,
20130504,2236,,
20130505,811.9,,
20130506,782.4,,
20130507,418,,
20130508,3371,,
20130509,1108,,
20130510,1216,,
20130511,815.6,,
20130512,1425,,
20130513,1406,,
20130514,3299,,
20130515,3034,,
20130516,2937,,
20130517,3456,,
20130518,850.6,,
20130519,608.4,,
20130520,3296,,
20130521,705.7,,
20130522,429.6,,
20130523,557.6,,
20130524,0,,
20130525,0,,
20130526,0,,
20130527,0,,
20130528,0,,
20130529,0,,
20130530,0,,
20130531,0,,
20130601,0,,
20130602,2088,,
20130603,9463,,
20130604,4036,,
20130605,7189,,
20130606,3429,,
20130607,2096,,
20130608,3174,,
20130609,1798,,
20130610,3634,,
20130611,5400,,
20130612,5014,,
20130613,4098,,
20130614,4655,,
20130615,5504,,
20130616,6399,,
20130617,6414,,
20130618,3339,,
20130619,7910,,
20130620,4094,,
20130621,7912,,
20130622,4892,,
20130623,6025,,
20130624,7424,,
20130625,4836,,
20130626,1583,,
20130627,2847,,
20130628,6481,,
20130629,8024,,
20130630,12800,,
